Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
603730 CH Equity,SHANGHAI DAIMA-A,19.61M,33.33,4.32,28.79,13.55%,Consumer Discretionary,19.92B,3.00%,13.79%,31.28%,-13.48%,39.61,3.93
603055 CH Equity,ZHEJIANG TAIHU-A,19.57M,16.41,1.65,--,10.41%,Consumer Discretionary,8.60B,6.09%,6.38%,100.61%,-50.13%,7.21,0.57
601020 CH Equity,TIBET HUAYU MI-A,19.56M,25.23,5.34,--,23.90%,Materials,22.84B,3.96%,11.32%,16.76%,273.38%,-0.04,10.29
300926 CH Equity,JIANGSU BOJUN -A,19.55M,12.58,3.03,--,27.97%,Consumer Discretionary,10.73B,7.95%,13.63%,103.98%,-6.56%,-20.73,1.53
688639 CH Equity,HUAHENG BIOTEC-A,19.48M,54.37,2.7,--,5.08%,Materials,7.15B,1.84%,3.86%,78.23%,155.29%,-19.16,0.35
600507 CH Equity,FANGDA SPECIAL-A,19.47M,13.44,1.22,28.16,9.69%,Materials,12.68B,7.44%,5.56%,55.64%,227.36%,-1.79,1.51
600420 CH Equity,SHANGHAI SHYND-A,19.32M,14.76,1.01,9.6,6.98%,Health Care,13.89B,6.78%,5.68%,7.48%,-27.72%,-3.81,0.55
002123 CH Equity,MONTNETS CLOUD-A,19.29M,--,4.62,--,-2.99%,Information Technology,7.98B,-0.58%,-1.09%,62.89%,3.39%,-23.71,-2.82
603662 CH Equity,KELI SENSING T-A,19.28M,47.47,5.58,--,12.09%,Industrials,15.36B,2.11%,9.10%,27.37%,1.14%,-24.9,-1.69
000099 CH Equity,CITIC OFFSHORE-A,19.24M,42.31,2.38,7.45,5.71%,Industrials,13.09B,2.36%,4.91%,20.93%,-27.32%,-25.67,-3.88
300451 CH Equity,B-SOFT CO LTD-A,19.17M,--,1.68,--,-7.78%,Health Care,7.27B,-4.80%,-7.43%,1.64%,-564.51%,-0.64,-0.83
002212 CH Equity,TOPSEC TECHNOL-A,19.07M,601.53,0.93,--,0.18%,Information Technology,8.69B,0.17%,0.25%,3.54%,24.07%,-24.72,0.15
600971 CH Equity,ANHUI HENGYUAN-A,19.04M,--,0.74,--,-1.59%,Energy,8.72B,-2.20%,-1.40%,44.29%,-82.78%,4.01,-0.11
300151 CH Equity,SHENZHEN CHANG-A,18.99M,125.74,5.2,786.8,4.19%,Industrials,8.46B,0.80%,2.21%,45.65%,-52.71%,8.32,3.68
002006 CH Equity,ZHEJIANG JINGG-A,18.99M,39.68,3.78,--,11.77%,Industrials,9.09B,2.52%,8.00%,35.29%,43.62%,-20.26,1.86
300027 CH Equity,HUAYI BROTHERS-A,18.95M,--,16.02,--,-80.32%,Communication Services,4.22B,-8.44%,-18.35%,288.36%,21.42%,-39.2,-0.78
600315 CH Equity,SHANGHAI JAHWA-A,18.95M,51.82,1.98,15.72,3.94%,Consumer Staples,13.77B,1.93%,2.94%,8.75%,73.08%,-19.78,0.66
601136 CH Equity,CAPITAL SECURI-A,18.91M,41.08,3.19,92.99,7.83%,Financials,43.92B,2.43%,2.56%,210.91%,12.79%,-27.97,-3.43
603099 CH Equity,CHANGBAI MOUNT-A,18.90M,71.01,6.32,472.71,9.73%,Consumer Discretionary,9.46B,1.41%,8.87%,6.46%,-436.51%,-21.88,-0.16
002368 CH Equity,TAIJI COMPUTER-A,18.88M,53.81,2.32,--,4.38%,Information Technology,12.02B,1.86%,3.35%,72.55%,97.26%,-29.78,-5.21
