Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
601033 CH Equity,GRANDTOP YONGX-A,9.79M,15.15,1.21,16.3,8.08%,Utilities,13.06B,6.60%,5.27%,93.16%,-7.56%,-9.14,-0.25
002516 CH Equity,KUANGDA TECHNO-A,9.67M,44.35,2.2,19.03,4.94%,Consumer Discretionary,8.19B,2.26%,5.30%,2.11%,-2.98%,-10.16,1.29
300768 CH Equity,HANGZHOU DPTEC-A,9.66M,60.73,2.93,131.71,4.89%,Information Technology,10.03B,1.65%,3.22%,0.63%,4.02%,-22.37,-0.11
002127 CH Equity,NANJI E-COMMER-A,9.63M,--,1.61,--,-5.74%,Communication Services,6.85B,-3.72%,-6.98%,0.68%,-65.98%,-20.74,-1.02
300183 CH Equity,QINGDAO EASTSO-A,9.56M,--,2.12,--,-0.90%,Information Technology,6.56B,-0.43%,-1.41%,2.57%,-79.79%,-15.34,-1.63
301631 CH Equity,SHENZHEN UNICO-A,9.55M,27.82,3.29,34.98,14.34%,Information Technology,7.93B,3.59%,11.30%,34.05%,-16.13%,-9.14,15.59
002557 CH Equity,CHACHA FOOD CO-A,9.54M,28.49,2.08,38.56,7.23%,Consumer Staples,11.15B,3.51%,3.79%,44.01%,-72.07%,3.77,-3.24
002399 CH Equity,SHENZHEN HEPAL-A,9.52M,47.24,1.37,10.39,2.89%,Health Care,15.01B,2.12%,1.86%,24.61%,-122.63%,-5.78,0.94
301101 CH Equity,MINGYUE OPTICA-A,9.50M,36.56,4.02,39.74,11.27%,Health Care,6.93B,2.74%,11.09%,2.73%,13.30%,-20.65,-12.5
601801 CH Equity,ANHUI XINHUA-A,9.40M,14.89,1.05,7.98,7.14%,Consumer Discretionary,12.73B,6.72%,4.85%,20.51%,15.28%,0.55,-0.04
601882 CH Equity,NINGBO HAITIAN-A,9.35M,23.01,3.35,26.98,15.18%,Industrials,9.87B,4.35%,12.15%,15.09%,-26.88%,-10.8,0.26
1044 HK Equity,HENGAN INTL,9.32M,11.15,1.3,12.61,11.88%,Consumer Staples,33.08B,8.96%,7.03%,71.73%,31.86%,7.39,9.35
002612 CH Equity,LANCY CO LTD-A,9.28M,7.04,2.14,16.01,31.76%,Consumer Discretionary,7.30B,14.20%,5.58%,57.55%,383.69%,-5.06,1.35
002110 CH Equity,SANSTEEL MINGU-A,9.25M,39.81,0.47,24.08,1.22%,Materials,9.30B,2.51%,1.18%,121.98%,--,-12.76,0.19
002867 CH Equity,CHOW TAI SENG -A,9.14M,12.25,2.03,12.16,16.64%,Consumer Discretionary,12.72B,8.16%,15.13%,6.89%,40.08%,-12.4,-0.55
301325 CH Equity,SHENZHEN MANST-A,9.03M,--,2.19,--,-2.39%,Industrials,6.26B,-1.10%,-1.19%,30.62%,-34.89%,-29.51,-4.59
605333 CH Equity,KUNSHAN HUGUAN-A,9.01M,17.64,3.59,--,24.43%,Consumer Discretionary,12.26B,5.67%,12.57%,89.64%,-19.04%,-30.24,-2.38
688177 CH Equity,BIO-THERA SOLU-A,9.00M,--,19.33,--,-55.40%,Health Care,9.36B,-3.96%,-28.58%,134.19%,23.01%,-18.18,1.84
000089 CH Equity,SHENZ AIRPORT-A,8.92M,24.11,1.22,12,5.12%,Industrials,14.09B,4.15%,3.44%,84.58%,30.02%,-3.1,0.47
002489 CH Equity,YOTRIO GROUP-A,8.92M,11.27,1.56,--,14.88%,Consumer Discretionary,7.33B,8.87%,12.23%,35.34%,28.87%,-9.63,0.42
002892 CH Equity,KELI MOTOR GRO-A,8.92M,233.65,6.22,--,2.66%,Industrials,8.10B,0.43%,2.15%,60.91%,9.23%,-24.71,-1.09
600006 CH Equity,DONGFENG AUTO-A,8.83M,50.95,1.49,--,2.97%,Consumer Discretionary,12.50B,1.96%,-0.70%,41.27%,-63.27%,-19.87,-0.52
688050 CH Equity,EYEBRIGHT MEDI-A,8.78M,27.04,3.52,47.69,14.04%,Health Care,9.90B,3.70%,11.30%,19.25%,-32.94%,-29.97,-52.3
600373 CH Equity,CHINESE UNIVER-A,8.77M,28.17,0.67,656.32,2.34%,Communication Services,11.51B,3.55%,1.17%,10.69%,-1.18k%,-18.82,-2.35
301215 CH Equity,CATARC AUTOMOT-A,8.76M,36.93,2.73,68.15,7.51%,Industrials,7.98B,2.71%,7.30%,0.45%,191.13%,-9.61,0.85
DFI SP Equity,DFI RETAIL GROUP,8.75M,25.91,21.95,6.16,54.61%,Consumer Staples,6.10B,3.86%,8.11%,799.56%,40.43%,38.21,2.85
KREIT SP Equity,KEPPEL REIT,8.74M,8.07,0.71,--,8.85%,Real Estate,4.51B,12.39%,2.91%,62.54%,-48.80%,-6.46,0.16
000860 CH Equity,BEIJING SHUNX-A,8.71M,--,1.36,818.45,-1.05%,Consumer Staples,9.49B,-0.78%,-0.26%,66.30%,-134.81%,-18.54,-4.33
603508 CH Equity,HENAN THINKER -A,8.66M,15.85,2.54,14.5,14.63%,Industrials,9.77B,6.31%,13.78%,0.95%,-32.69%,-23.55,6.66
CD SP Equity,COMFORTDELGRO CO,8.66M,13.83,1.23,--,8.87%,Industrials,3.18B,7.23%,6.30%,61.11%,-5.51%,-0.68,0.16
002651 CH Equity,CHENGDU LEEJUN-A,8.60M,119.34,3.45,--,3.09%,Industrials,9.68B,0.84%,1.80%,2.27%,-19.54%,-19.57,3.41
600662 CH Equity,SHANGHAI FOREI-A,8.50M,10.48,2.3,10.35,23.28%,Industrials,11.60B,9.54%,11.70%,2.43%,0.02%,-5.22,-0.01
603013 CH Equity,YAPP AUTOMOTIV-A,8.44M,17.98,2.09,29.27,12.12%,Consumer Discretionary,9.41B,5.56%,10.85%,2.73%,-24.01%,-24.98,4.84
601003 CH Equity,LIUZHOU IRON-A,8.42M,22.3,1.31,3.61,6.10%,Materials,12.14B,4.48%,4.09%,131.90%,875.13%,-14.79,1.81
000885 CH Equity,CITY DEVELOPME-A,8.42M,7.28,0.95,--,13.70%,Materials,8.66B,13.74%,6.21%,157.98%,-14.10%,-13.41,1.53
002081 CH Equity,SUZHOU GOLD -A,8.34M,19.34,0.64,49.14,3.35%,Industrials,8.84B,5.17%,3.06%,32.70%,-91.16%,-7.24,0.22
002351 CH Equity,EDIFIER TECH-A,8.33M,23.35,3.38,24.7,14.94%,Consumer Discretionary,10.06B,4.28%,14.66%,0.36%,13.19%,-18.68,-0.82
600928 CH Equity,BANK OF XI'AN -A,8.33M,5.94,0.46,--,7.94%,Financials,15.82B,16.84%,4.59%,371.42%,1.63%,-9.18,0.37
300298 CH Equity,SINOCARE INC - A,8.33M,31.21,2.68,15.27,8.68%,Health Care,8.91B,3.20%,5.43%,24.19%,-52.49%,-20.66,-4.65
601949 CH Equity,CHINA PUBLISHI-A,8.24M,21.11,1.25,24.85,6.01%,Communication Services,12.01B,4.74%,5.15%,3.48%,-40.96%,-7.48,-0.24
603128 CH Equity,CTS INTERNATIO-A,8.24M,19.45,1.2,--,6.16%,Industrials,7.27B,5.14%,3.67%,31.08%,-53.46%,-9.31,-0.28
600903 CH Equity,GUIZHOU GAS GR-A,8.24M,--,2.29,--,-0.53%,Energy,7.23B,-0.27%,1.43%,139.40%,-54.18%,-10.27,-1.23
603983 CH Equity,GUANGDONG MARU-A,8.22M,39.05,2.91,134.29,7.37%,Consumer Staples,9.70B,2.56%,5.27%,11.72%,-77.11%,-37.1,-13.04
SUN SP Equity,SUNTEC REIT,8.11M,27.93,0.74,23.41,2.96%,Real Estate,4.46B,3.58%,1.61%,62.07%,317.58%,17.58,0.55
688584 CH Equity,WAFER WORKS SH-A,8.09M,103.43,3.16,--,3.03%,Information Technology,13.04B,0.97%,2.72%,12.46%,-31.87%,-20.1,4.6
600675 CH Equity,CHINA ENTERPRI-A,8.04M,110,1.08,--,0.82%,Real Estate,15.66B,0.91%,0.68%,148.77%,4.19%,-12.2,-0.06
FCT SP Equity,FRASERS CENTREPO,8.01M,21.38,0.95,25.9,4.49%,Real Estate,4.54B,4.68%,4.14%,54.53%,7.99%,-3.91,0.18
CSE SP Equity,CSE GLOBAL LTD,8.00M,23.62,3.26,--,14.11%,Information Technology,897.62M,4.23%,8.78%,96.13%,87.48%,68.71,0.92
600059 CH Equity,ZHEJIANG GUYU-A,7.96M,39.97,1.38,2.52k,3.54%,Consumer Staples,8.07B,2.50%,3.06%,0.09%,-85.16%,-8.39,0.14
600640 CH Equity,NEW GUOMAI DIG-A,7.90M,442.33,2.39,54.73,0.54%,Communication Services,9.49B,0.23%,-0.55%,0.25%,-16.56%,-17.27,0.87
002901 CH Equity,DOUBLE MEDICAL-A,7.89M,31.99,5.18,31.12,16.66%,Health Care,17.60B,3.13%,14.57%,8.54%,60.25%,-27.41,10.11
688128 CH Equity,CHINA NATIONAL-A,7.86M,19.48,3,12.68,16.25%,Industrials,10.24B,5.13%,13.10%,13.91%,8.42%,-25.77,6.95
688696 CH Equity,XGIMI TECH CO LT,7.83M,43.95,2.14,--,4.81%,Consumer Discretionary,6.48B,2.28%,3.21%,29.59%,-60.82%,-20.24,-19.08
301267 CH Equity,HUAXIA EYE HOS-A,7.82M,32.31,2.38,20.57,7.48%,Health Care,14.40B,3.09%,6.60%,16.36%,-13.32%,-13.96,-1.83
002287 CH Equity,TIBET CHEEZHEN-A,7.81M,20.06,2.74,22.96,14.14%,Health Care,13.22B,4.99%,11.70%,22.05%,3.39%,-12.3,0.25
101 HK Equity,HANG LUNG PPT,7.80M,24.94,0.34,27.25,1.36%,Real Estate,46.37B,4.01%,1.35%,37.29%,25.21%,2.12,4.12
603043 CH Equity,GUANGZHOU REST-A,7.76M,17.9,2.2,19.5,12.49%,Consumer Discretionary,8.70B,5.59%,9.05%,32.48%,-53.08%,-3.9,0.02
603355 CH Equity,KINGCLEAN ELEC-A,7.71M,15.98,2.8,23.51,17.69%,Consumer Discretionary,15.56B,6.26%,6.44%,131.56%,-38.18%,19.19,5.92
600729 CH Equity,CHONGQING DEPT-A,7.48M,6.94,1.22,5.76,18.46%,Consumer Discretionary,9.60B,14.41%,4.98%,81.94%,18.44%,-18.69,-10.99
600335 CH Equity,SINOMACH AUTO -A,7.47M,20.02,0.77,1.08,3.92%,Consumer Discretionary,8.94B,4.99%,2.23%,77.08%,216.11%,-1.97,0.15
601163 CH Equity,TRIANGLE TYRE -A,7.43M,12.45,0.82,17.64,6.69%,Consumer Discretionary,11.25B,8.03%,4.40%,10.77%,20.72%,0,0.92
603197 CH Equity,SHANGHAI BAOLO-A,7.32M,27.36,2.13,--,7.92%,Consumer Discretionary,6.94B,3.66%,4.20%,173.32%,-53.64%,-24.1,-1.34
300979 CH Equity,HUALI INDUSTRI-A,7.25M,16.14,3.18,46.55,19.05%,Consumer Discretionary,51.70B,6.20%,16.88%,13.51%,-24.15%,-17.26,-7.89
688232 CH Equity,GUOTAI EPOINT -A,7.20M,63.08,1.36,--,2.10%,Information Technology,7.01B,1.59%,1.90%,0.15%,-407.78%,-21.46,-8.14
002242 CH Equity,JOYOUNG CO -A,7.19M,59.86,2.14,10.01,3.40%,Consumer Discretionary,7.36B,1.67%,0.39%,56.25%,-9.02%,1.58,0.75
8YZ SP Equity,YANGZIJIANG MARI,7.18M,13.28,1.06,--,7.98%,Industrials,2.20B,7.53%,--,0.00%,-7.58%,--,--
003012 CH Equity,GUANGDONG DONG-A,7.10M,19.2,0.95,13.42,4.84%,Industrials,7.24B,5.21%,3.62%,23.99%,20.24%,-14.6,0.33
003039 CH Equity,GUANGDONG SHUN-A,7.09M,32.95,3.19,--,9.94%,Utilities,8.98B,3.03%,7.58%,74.45%,9.72%,6.99,1.12
000567 CH Equity,HAINAN HAIDE C-A,7.04M,356.39,1.85,6.74,-0.30%,Financials,9.97B,0.28%,1.75%,51.79%,-88.20%,-24.44,-0.32
300755 CH Equity,VATS LIQUOR CH-A,6.93M,--,1.8,3.93,-9.86%,Consumer Staples,5.39B,-6.10%,-5.86%,52.23%,-33.36%,-34.3,-3.17
600657 CH Equity,CINDA REAL EST-A,6.89M,--,0.47,19.12,-27.89%,Real Estate,8.64B,-91.03%,-8.97%,161.72%,-752.48%,-24.25,-1.39
600248 CH Equity,SHAANXI CONSTR-A,6.88M,11.51,0.44,--,4.15%,Industrials,12.79B,8.69%,3.25%,140.39%,-96.16%,-13.2,-0.58
600597 CH Equity,BRIGHT DAIRY-A,6.86M,--,1.12,--,-1.60%,Consumer Staples,10.24B,-1.49%,0.38%,31.31%,44.14%,-13.6,-1.12
FR SP Equity,FIRST RESOURCES,6.85M,9.82,2.27,81.12,24.27%,Consumer Staples,4.43B,10.19%,17.14%,57.23%,51.56%,65.32,1.53
VMS SP Equity,VENTURE CORP LTD,6.75M,19.86,1.61,16.63,7.99%,Information Technology,4.50B,5.04%,5.62%,0.70%,-5.85%,7.34,6.09
002275 CH Equity,GUILIN SANJIN -A,6.74M,15.89,2.57,16.71,16.71%,Health Care,8.33B,6.29%,13.38%,19.60%,19.33%,-4.2,1.15
600055 CH Equity,BEIJING WANDON-A,6.74M,--,2.21,--,-4.94%,Health Care,10.36B,-2.20%,-1.04%,9.66%,-69.58%,-16.72,-1.64
002737 CH Equity,SUNFLOWER PHAR-A,6.73M,--,1.76,27.16,-3.01%,Health Care,7.14B,-1.78%,-3.70%,0.71%,-89.40%,-20.89,-4.48
600223 CH Equity,LUSHANG FREDA-A,6.61M,36.63,1.63,30.76,4.50%,Consumer Staples,6.88B,2.73%,3.04%,2.94%,-54.17%,-12.98,-0.73
002003 CH Equity,ZHEJIANG WEIXI-A,6.55M,16.95,2.45,84.79,14.88%,Consumer Discretionary,11.46B,5.90%,11.92%,29.17%,3.46%,-8.19,-1.06
000848 CH Equity,CHENG DE LOLO -A,6.51M,13.25,2.38,13.86,18.82%,Consumer Staples,8.10B,7.55%,16.14%,14.09%,-0.74%,-8.53,-0.7
600217 CH Equity,CHINA RESOURCE-A,6.47M,--,1.36,3.99,-12.61%,Industrials,6.27B,-6.76%,-5.55%,100.67%,91.91%,-12.3,-0.83
301565 CH Equity,SINOLONG NEW M-A,6.44M,128.1,3.54,--,2.72%,Materials,8.52B,0.78%,1.76%,49.10%,59.05%,-14.5,1.29
NETLINK SP Equity,NETLINK NBN TRUS,6.42M,42.67,1.66,35.06,3.78%,Communication Services,3.86B,2.34%,2.80%,43.97%,-10.92%,6.05,0.19
301339 CH Equity,JIANGSU TONGXI-A,6.40M,34,2.74,17.8,8.08%,Information Technology,7.54B,2.94%,6.13%,2.49%,21.01%,-15.37,-1.58
600861 CH Equity,FESCO GROUP-A,6.34M,7.77,1.26,6.9,17.11%,Industrials,8.99B,12.87%,14.11%,3.77%,-7.39%,-15.98,-4.53
301376 CH Equity,ZHIOU HOME FUR-A,6.24M,18.88,1.82,2.15,9.91%,Consumer Discretionary,6.24B,5.30%,4.53%,65.35%,-32.83%,-19.3,-0.93
600305 CH Equity,JIANGSU HENGSH-A,6.18M,55.48,2.46,887.89,4.46%,Consumer Staples,8.30B,1.80%,3.92%,0.07%,-7.87%,-6.72,-0.02
601500 CH Equity,JIANGSU GENERA-A,6.14M,70.11,1.11,--,1.73%,Consumer Discretionary,6.79B,1.43%,2.15%,90.94%,-54.57%,-4.9,-0.34
MPACT SP Equity,MAPLETREE PAN AS,6.00M,10.49,0.78,20.93,7.44%,Real Estate,7.18B,9.54%,4.20%,61.46%,-6.30%,-3.57,0.31
CLINT SP Equity,CAPITALAND INDIA,5.84M,4.32,0.75,--,17.30%,Real Estate,1.53B,23.13%,2.98%,89.40%,-72.43%,-7.31,0.19
301381 CH Equity,SAILVAN TIMES -A,5.76M,34.28,2.96,--,9.00%,Consumer Discretionary,7.88B,2.92%,4.72%,55.39%,2.60%,-19.33,1.09
600020 CH Equity,HENAN ZHONGYUA-A,5.76M,9.88,0.71,--,7.66%,Industrials,8.50B,10.13%,2.61%,222.49%,71.37%,-12.7,-0.36
603866 CH Equity,TOLY BREAD-A,5.74M,20.56,1.52,18.83,7.50%,Consumer Staples,7.92B,4.86%,6.22%,24.41%,-31.19%,-9.84,-0.74
000557 CH Equity,NINGXIA WESTER-A,5.55M,20.51,1.07,--,5.36%,Industrials,6.84B,4.88%,2.58%,0.12%,-98.10%,-10.67,-0.74
FLT SP Equity,FRASERS LOGISTIC,5.39M,16.91,0.84,137.68,4.86%,Real Estate,3.49B,5.91%,3.52%,61.92%,-14.06%,-1.14,0.19
688739 CH Equity,LIAONING CHENG-A,5.36M,56.54,1.09,186.64,1.88%,Health Care,10.22B,1.77%,1.37%,0.13%,-68.56%,-10.15,0.38
300856 CH Equity,NANJING COSMOS-A,5.28M,46.72,2.13,--,4.61%,Materials,5.90B,2.14%,3.76%,23.60%,-87.05%,-7.12,-2.7
301508 CH Equity,CHINA MACHINER-A,5.26M,43.08,3.2,--,7.62%,Industrials,6.53B,2.32%,6.75%,0.38%,-4.91%,-10.28,-0.57
300406 CH Equity,BEIJING STRONG-A,5.26M,16.28,1.75,11.95,10.83%,Health Care,6.99B,6.14%,9.04%,26.68%,-20.20%,-10.37,-2.37
